Tourism % Share in India,Rank of India
0.37,51st
0.34,54th
0.4,51st
0.45,44th
0.49,43rd
0.53,44th
0.57,41st
0.58,41st
0.59,41st
0.61,42nd
0.63,38th
0.63,41st
0.64,41st
1.15,24th
1.15,24th
1.21,26th
1.26,26th
1.24,22nd
1.23,23rd
1.58,34th
1.23,39th
